VCD info: dumpfile Noc.vcd opened for output.
Node1: Message: 6 Destination: 4 Departure_Time: 286
Node1: Message: 9 Source: 5 Arrival_Time: 288
Node5: Message: 10 Source: 5 Arrival_Time: 289
Node2: Message: 6 Source: 1 Arrival_Time: 289
Node3: Message: 8 Source: 6 Arrival_Time: 291
Node6: Message: 7 Source: 6 Arrival_Time: 294
Node8: Message: 11 Source: 4 Arrival_Time: 294
Node5: Message: 8 Source: 2 Arrival_Time: 295
Node6: Message: 13 Destination: 1 Departure_Time: 297
Node2: Message: 9 Destination: 6 Departure_Time: 297
Node7: Message: 11 Source: 1 Arrival_Time: 298
Node0: Message: 12 Source: 5 Arrival_Time: 307
Node6: Message: 14 Destination: 0 Departure_Time: 318
Node8: Message: 9 Source: 2 Arrival_Time: 324
Node8: Message: 2 Source: 3 Arrival_Time: 325
Node0: Message: 15 Destination: 5 Departure_Time: 327
Node4: Message: 16 Destination: 7 Departure_Time: 328
Node5: Message: 13 Destination: 4 Departure_Time: 329
Node6: Message: 11 Destination: 4 Departure_Time: 331
Node3: Message: 10 Source: 2 Arrival_Time: 333
Node5: Message: 14 Destination: 4 Departure_Time: 334
Node5: Message: 15 Destination: 2 Departure_Time: 335
Node5: Message: 16 Destination: 3 Departure_Time: 336
Node8: Message: 16 Destination: 2 Departure_Time: 340
Node3: Message: 14 Destination: 5 Departure_Time: 342
Node2: Message: 16 Destination: 7 Departure_Time: 344
Node6: Message: 16 Destination: 4 Departure_Time: 344
Node4: Message: 9 Source: 7 Arrival_Time: 344
Node3: Message: 7 Source: 2 Arrival_Time: 346
Node6: Message: 5 Source: 6 Arrival_Time: 348
Node2: Message: 11 Source: 7 Arrival_Time: 350
Node8: Message: 12 Source: 4 Arrival_Time: 355
Node4: Message: 13 Destination: 7 Departure_Time: 357
Node3: Message: 13 Destination: 7 Departure_Time: 357
Node0: Message: 6 Destination: 3 Departure_Time: 358
Node7: Message: 12 Source: 2 Arrival_Time: 359
Node1: Message: 10 Source: 7 Arrival_Time: 361
Node3: Message: 12 Source: 7 Arrival_Time: 363
Node5: Message: 10 Source: 1 Arrival_Time: 369
Node6: Message: 16 Source: 5 Arrival_Time: 371
Node4: Message: 12 Source: 6 Arrival_Time: 371
Node1: Message: 9 Source: 4 Arrival_Time: 372
Node1: Message: 10 Destination: 8 Departure_Time: 374
Node8: Message: 11 Source: 0 Arrival_Time: 378
Node1: Message: 12 Source: 8 Arrival_Time: 379
Node0: Message: 14 Source: 4 Arrival_Time: 381
Node2: Message: 2 Source: 0 Arrival_Time: 385
Node0: Message: 15 Source: 4 Arrival_Time: 386
Node8: Message: 13 Destination: 2 Departure_Time: 389
Node4: Message: 6 Source: 3 Arrival_Time: 389
Node7: Message: 15 Source: 1 Arrival_Time: 390
Node1: Message: 11 Destination: 6 Departure_Time: 391
Node0: Message: 13 Source: 5 Arrival_Time: 396
Node8: Message: 9 Source: 1 Arrival_Time: 396
Node2: Message: 13 Destination: 3 Departure_Time: 397
Node1: Message: 12 Destination: 5 Departure_Time: 400
Node3: Message: 16 Destination: 4 Departure_Time: 404
Node8: Message: 6 Destination: 3 Departure_Time: 406
Node4: Message: 9 Source: 8 Arrival_Time: 416
Node3: Message: 7 Source: 3 Arrival_Time: 418
Node8: Message: 11 Destination: 0 Departure_Time: 419
Node6: Message: 15 Destination: 3 Departure_Time: 423
Node2: Message: 14 Destination: 4 Departure_Time: 426
Node7: Message: 12 Source: 1 Arrival_Time: 431
Node2: Message: 15 Source: 7 Arrival_Time: 438
Node2: Message: 15 Destination: 0 Departure_Time: 439
Node8: Message: 8 Source: 3 Arrival_Time: 439
Node1: Message: 13 Destination: 0 Departure_Time: 441
Node5: Message: 10 Source: 6 Arrival_Time: 441
Node1: Message: 2 Source: 8 Arrival_Time: 445
Node0: Message: 10 Destination: 5 Departure_Time: 446
Node6: Message: 9 Source: 6 Arrival_Time: 448
Node4: Message: 11 Source: 2 Arrival_Time: 450
Node3: Message: 16 Source: 7 Arrival_Time: 455
Node2: Message: 16 Source: 8 Arrival_Time: 459
Node7: Message: 13 Source: 4 Arrival_Time: 460
Node4: Message: 14 Source: 7 Arrival_Time: 461
Node3: Message: 6 Source: 0 Arrival_Time: 461
Node4: Message: 16 Source: 2 Arrival_Time: 463
Node0: Message: 14 Source: 2 Arrival_Time: 465
Node8: Message: 11 Source: 6 Arrival_Time: 466
Node0: Message: 7 Source: 8 Arrival_Time: 470
Node8: Message: 9 Source: 3 Arrival_Time: 480
Node1: Message: 15 Destination: 8 Departure_Time: 487
Node4: Message: 13 Source: 7 Arrival_Time: 488
Node1: Message: 16 Destination: 7 Departure_Time: 492
Node1: Message: 14 Destination: 8 Departure_Time: 502
Node8: Message: 10 Destination: 3 Departure_Time: 502
